t_env,loss,grad_norm,q_taken_mean
2609,262.8296203613281,2103.2307,0.0657563811565734
3153,105.80876922607422,383.946,0.8048813721423304
3666,53.13811492919922,368.53513,0.5033054877487104
4180,34.73405456542969,320.33972,0.7416668173707561
4754,35.56941604614258,777.66284,0.4555091631791987
5291,19.696115493774414,585.14557,0.5257532413853115
5805,51.840126037597656,1605.2958,1.2009741062373225
6338,23.241334915161133,603.9822,1.0383962673611111
6874,12.399567604064941,113.18095,0.9959775789962825
7430,11.48343563079834,445.80908,1.0296646281630957
7948,32.023624420166016,1516.4735,0.7323913483796296
8466,72.27066802978516,2882.3137,1.1282845267660044
9050,62.904666900634766,2840.592,1.1814470800339367
9608,15.268601417541504,554.19446,1.4930837329398745
10155,69.4853286743164,3254.238,1.1562346872598002
10709,59.59120559692383,3110.3313,1.149129739658926
11241,73.86991119384766,4151.3613,2.2341690531537575
11779,44.42763900756836,2614.7834,2.1507527669270834
12294,29.886655807495117,1682.9767,2.0324836985450676
12808,95.67379760742188,4817.9214,1.6053702458474897
13359,21.18307113647461,973.2938,2.1156841950719714
13922,80.11936950683594,4980.5835,2.3384179078100624
14432,51.58747100830078,3393.337,2.128441377375924
14945,34.46544647216797,2283.7476,2.110089285714286
15446,26.97635269165039,1598.9832,1.9614339370007263
16000,86.81991577148438,5000.2,1.4939486005892255
16510,79.1556167602539,4731.484,1.6680341862004708
17037,51.92341613769531,3734.7266,2.320255984042553
17569,28.142498016357422,2121.882,1.9524851467354534
18075,85.3398208618164,5153.124,1.5228615031362007
18662,89.0551528930664,5296.286,1.6652112478514134
19187,15.917831420898438,869.3224,1.9223683905380333
19721,35.678245544433594,2732.9907,2.0087299190403525
20278,23.32030487060547,1640.8998,2.009848373303807
20784,22.795665740966797,1839.1935,2.0681216779692084
21309,21.28616714477539,1577.1873,2.1024403657724506
21820,36.2404670715332,1992.4456,2.138865054602184
22340,22.507322311401367,1889.6816,1.9809775532155798
22866,18.379932403564453,1426.7201,2.019267525500385
23369,83.26795959472656,5244.8076,1.800474550750395
23877,18.715763092041016,1773.605,2.0476052862149534
24397,24.799779891967773,2259.387,2.1561533489212192
24960,16.055530548095703,1351.3467,2.1799140625
25545,12.764680862426758,1231.6746,1.8746084199266504
26080,14.020957946777344,1221.6843,2.0485170376375788
26597,72.13519287109375,4462.988,1.5679678526990812
27117,67.5915756225586,4203.8506,1.678842351010578
27666,67.8461685180664,4094.0273,1.4751793921262573
28187,63.50900650024414,4118.884,1.6948411043326692
28717,15.223848342895508,1297.7853,2.192139829479207
29231,16.54395866394043,1282.3197,2.068729623502705
29765,18.572187423706055,1507.6716,2.106999582047325
30340,63.25181198120117,3716.919,1.538689387273064
30847,66.2148666381836,3914.7886,1.565189606741573
31352,64.3114242553711,3798.4172,1.5661477803738317
31856,26.2916259765625,1846.5868,2.122741275630915
32372,56.79862594604492,3549.7178,1.5407280365566038
32880,16.861194610595703,1583.5823,1.989251077586207
33428,63.64170837402344,3905.1892,1.7225838681792345
33928,62.38215637207031,3925.8708,1.8162412406237662
34473,53.86430358886719,3737.9011,1.8183898372883025
34978,50.14686584472656,3390.198,1.775678140862944
35492,31.603803634643555,3047.477,2.3301371073936794
35997,48.94292449951172,3132.9768,1.6625577972753518
36539,53.508453369140625,3721.1553,1.7447823982781838
37075,16.517942428588867,1616.4005,2.097038363005289
37591,29.230234146118164,2485.41,2.4011587489366226
38098,31.96426010131836,2847.9067,2.4295570745623176
38612,24.67949676513672,1962.9244,2.2469924898636195
39115,39.26786804199219,2799.3298,1.7209829519052044
39662,36.046966552734375,2655.877,1.791592152445752
40243,42.07940673828125,2937.2493,1.8659450808625337
40778,30.622987747192383,2742.0193,2.303743322404622
41313,52.91086959838867,3518.054,1.7781909591932459
41820,47.95840835571289,3530.6794,1.8968232136493228
42334,53.98594284057617,3667.7156,1.9127861438894986
42856,43.71044158935547,2829.1238,1.8096713858195212
43371,42.650054931640625,3970.0054,2.551286334373781
43901,53.47919845581055,3513.7556,2.0085432527013753
44427,44.179893493652344,3112.1306,1.9198724178781745
45020,43.53817367553711,3118.2961,1.646885613402916
45524,49.69259262084961,3471.806,2.06579577020202
46129,45.57734298706055,2866.7632,1.8009684758771929
46651,26.36355972290039,2146.7542,2.1698347510088043
47200,49.79582595825195,3187.8225,1.9716675158514492
47739,30.502262115478516,2626.1155,2.36327505679621
48278,37.063804626464844,3333.0479,2.4527293238146552
48833,27.42824363708496,2682.2449,2.3060384632378934
49356,25.346879959106445,2166.9297,2.17806899911604
49889,23.226762771606445,2058.0125,2.3950663444851523
50461,30.750076293945312,2509.2737,2.2387904502286315
50961,49.81636047363281,3332.6138,1.9180063100961537
51491,20.685985565185547,1749.0726,2.271255574262832
52077,23.621618270874023,2191.4414,2.3630683391802068
52628,22.284931182861328,1903.525,2.6017791348253274
53179,44.449554443359375,3079.8284,2.0177032924300033
53691,36.42623519897461,2449.695,2.117542020462138
54217,47.53377151489258,3224.3955,2.2298594048187024
54741,31.813858032226562,2663.4456,2.5420941776072485
55243,31.071922302246094,2619.04,2.520947504708098
55766,44.75052261352539,2715.702,1.7567113095238096
56287,52.514198303222656,3244.2258,2.2254424523955776
56797,49.640052795410156,3186.6384,2.167423927007994
57360,22.297687530517578,2113.023,2.6398285714285716
57892,47.3731689453125,3175.4941,2.067387542289886
58424,45.89057922363281,3040.7107,2.270870786516854
58968,28.895675659179688,2348.7134,2.714991513957463
59482,20.6610050201416,1830.2281,2.4934405383507383
60019,22.72532081604004,2109.441,2.4124622111250447
60531,39.87958908081055,2734.2283,1.9019467654195366
61100,20.049625396728516,1761.7831,2.4483984241178485
61613,22.744754791259766,1444.8574,2.616054032488567
62163,34.7568359375,2424.8032,2.0166313605235784
62730,25.33856964111328,1949.0503,2.4890230515916576
63265,41.32551193237305,2895.453,2.3846613672785546
63808,17.19686508178711,1586.8302,2.437565527470741
64358,47.385520935058594,2900.3066,2.150004684744268
64861,22.522329330444336,1732.7155,2.586530493482309
65380,22.788843154907227,2057.536,2.5181133267649076
65901,45.04261779785156,2930.0105,2.2298028230850653
66412,36.433353424072266,2567.4438,2.355188058679354
66941,18.00448989868164,1614.9106,2.5608630008158086
67472,22.485671997070312,1946.9298,2.752743578601777
67976,23.188858032226562,1926.9545,2.6782983601373327
68533,20.81011390686035,1845.1287,2.6440534095202115
69051,36.300819396972656,2662.9958,2.2883182760663505
69560,26.870492935180664,2317.8074,2.710946075740944
70103,40.383026123046875,2712.549,2.2419654870828847
70654,41.493961334228516,2526.9934,2.084735127005348
71251,20.907333374023438,1799.0629,2.6689613748272287
71786,22.14319610595703,1622.7732,2.7391450503812638
72298,18.94598960876465,1702.0487,2.6441771603512016
72827,41.67416000366211,2771.7695,2.3515539207275222
73371,35.02635955810547,2302.2751,2.136586704135215
73878,50.9151611328125,3030.3318,2.3612748315520444
74380,44.01737976074219,2773.71,2.280521784163417
74944,21.720399856567383,1669.5076,2.714340403323003
75515,49.32369613647461,3220.4592,2.332755907685512
76047,19.136211395263672,1678.7828,2.3691319051277904
76585,24.302268981933594,2057.0247,2.6302242860099336
77118,20.397546768188477,1701.0275,2.6197665855532786
77630,45.691898345947266,2920.451,2.2514797988708537
78162,25.056106567382812,1743.7045,2.6995602442581115
78695,40.5795783996582,2678.2493,2.459046793760832
79213,39.44992446899414,2719.0342,2.4563247696144743
79769,42.63581848144531,3139.9692,2.6443883132430646
80318,34.05429458618164,2436.7173,2.511801215277778
80867,24.685462951660156,2103.8706,2.879234494361586
81389,46.49755096435547,3452.0867,3.070424225079253
82027,56.27753829956055,3332.129,2.296406895661157
82601,54.05514144897461,3764.168,2.721284872404844
83109,172.8875732421875,12886.191,3.1718897727272726
83612,29.859163284301758,2201.0552,2.442248918230346
84178,42.091346740722656,3165.9617,2.7707811893674816
84698,32.44505310058594,2526.503,2.4998718690172304
