t_env,loss,td_error,grad_norm,q_taken_mean,target_mean
1102,14.079333305358887,3.6837481656221644,493.27722,0.3046607301946272,1.4789557575241985
1614,3.6092543601989746,0.8784839639916595,65.24415,2.869883837236242,2.695602656294554
2136,3.05325984954834,0.7796334030281784,29.557251,2.7676966479700855,2.6851854634081196
2636,4.13442850112915,0.8420430202368734,29.806656,3.44631916684673,3.364890285130366
3148,3.4330785274505615,0.852652285611249,24.847136,3.425613574471527,3.357859460382514
3652,4.246174335479736,1.0961357517531167,58.13554,3.9832604607264765,3.841555125779163
4163,4.958596706390381,1.122166566985646,97.85707,4.318446595893142,4.066238972787081
4692,5.63642692565918,1.2178263535610465,40.217796,4.698739401647287,4.774175448158915
5203,4.335386276245117,1.4815341101752386,131.74435,4.362514919704861,4.687222798665364
5708,3.591184616088867,0.8351844814556647,52.60542,4.777667257895318,4.651263664973499
6209,5.352968692779541,1.6781289675306719,167.61586,5.37484129877313,5.749214874128453
6717,5.819392204284668,1.752166008866782,182.4556,5.326176943663495,5.72479522599481
7241,4.90425443649292,1.5107339437905845,156.12483,6.230295702561327,6.545090413059163
7757,5.768953323364258,1.739169538073144,208.53168,6.157632823871907,6.5745400063682675
8269,3.3696372509002686,0.8119820597226662,33.219936,6.825205580420574,6.841185239947428
8769,3.1099960803985596,0.7471641700196201,88.77663,6.9698524463527445,6.8271487336973005
9284,5.191718101501465,1.7820044464760638,256.63065,6.413141068262411,6.882450687056737
9797,3.0634610652923584,0.738076583494787,49.84099,7.796170527616711,7.713966789325007
10315,2.8024678230285645,0.7305595016802497,82.14169,7.810251949266159,7.675341893346034
10819,5.0240478515625,1.603457825711266,249.20985,8.028646428435405,8.426976810062461
11327,3.137287139892578,0.9085905655570652,162.00224,8.77787986865942,8.522908740942029
11829,3.4113175868988037,0.8407633258553736,117.885925,8.775689087426532,8.593618807724601
12353,2.3929405212402344,0.8995696442832852,160.21373,8.908583659659246,8.673342929891454
12861,4.860019683837891,1.7914928179491079,340.57288,8.162578779737768,8.682369284772912
13379,3.4733481407165527,1.07078080795136,79.48706,8.752334881990587,8.742836919469823
13889,5.649825572967529,1.869359706089619,383.73676,8.241330413264645,8.801854506868844
14428,6.359602928161621,1.9165311686197917,381.00946,8.151527777777778,8.713860677083334
14955,7.4922356605529785,2.399226214951441,429.66226,8.189158334203565,8.905967718776107
