t_env,loss,td_error,grad_norm,q_taken_mean,target_mean
3042,0.602145254611969,0.5936629376232742,1.5907063,0.015316674949149409,0.07403880824704143
3561,0.2814977169036865,0.5099618983683175,0.31000635,0.10727094180469006,0.1155601477943588
4062,0.19960038363933563,0.37181261845009994,1.0580326,0.12706743585471508,0.1151618861421193
4584,0.16199202835559845,0.31949617346938775,1.3550328,0.09420511798469387,0.11615937234268707
5124,0.11009220778942108,0.2494231657722185,0.41018236,0.11982564786585366,0.11687385148680254
5662,0.10661444067955017,0.2433553594181928,0.709749,0.10513165709225984,0.11655140484623358
6164,0.5570346117019653,0.592599358974359,4.7961965,0.20255910790598292,0.1718624465811966
6730,0.14620859920978546,0.2399865655736053,1.7328289,0.17423408023621412,0.16748269207513705
7247,0.10041580349206924,0.1947312151297643,0.50720066,0.17251995570043463,0.17274973357572718
7755,0.09604807943105698,0.1931385958144993,0.61940366,0.1643038291029207,0.17233251749391515
8274,0.08714111149311066,0.18021748056939196,0.2822056,0.16936761958948815,0.17024332542511164
8799,0.09081651270389557,0.19331454696681646,1.164552,0.18140722217421362,0.17483027458520567
9305,0.18013854324817657,0.3076288038684476,2.201707,0.18201934486307123,0.20466846753192205
9847,0.1377636343240738,0.24800735301951926,2.4723632,0.18643690866859872,0.20661657219570406
10400,0.10280194133520126,0.17808200689513334,1.0191778,0.21470826928905437,0.21222393758659508
10921,0.09128369390964508,0.17188721944938962,1.0386188,0.2105122764072567,0.2070002278314683
11425,0.09016858786344528,0.16434900446660042,1.2684718,0.20066961199446942,0.21060918866660905
11949,0.27172988653182983,0.34047602351724743,3.9355347,0.25268050422386484,0.24789661980816613
12457,0.15658637881278992,0.20332382963479445,2.3584425,0.24900853171117357,0.2471621629040759
12967,0.14163988828659058,0.21820477974899932,2.8574667,0.24836080824716478,0.23898130003335558
13497,0.12689994275569916,0.20176792749148212,2.7072198,0.22733153215502555,0.24380062819420784
14005,0.10698094218969345,0.17858369541232347,1.8086407,0.25115156880464024,0.24508965723772697
14519,0.10105136781930923,0.16393414892594807,1.9001495,0.23440387982576016,0.24609748676118892
15029,0.300594300031662,0.33539388709038054,5.404617,0.29805485817477095,0.2912645899400987
15541,0.1771809607744217,0.20897829439077958,2.8936515,0.2888572586148072,0.2865598878369157
16041,0.14484548568725586,0.18901609960390406,2.2509317,0.2733098356530112,0.287779428177521
16582,0.15416859090328217,0.2114805607715944,3.674008,0.27132929860874017,0.28913451689996583
17110,0.15424437820911407,0.22010288204862336,3.7275097,0.27591519039004586,0.2946298921196611
17645,0.12778286635875702,0.1936245925134892,2.653793,0.29614691996402875,0.28855980215827337
18159,0.5441928505897522,0.4879790853697544,10.063028,0.3377871247014671,0.32460945496417604
18712,0.26338228583335876,0.3296140611317863,5.497585,0.30741839973730295,0.3370340137915937
19229,0.18905530869960785,0.20204106720400528,2.427893,0.338140927596831,0.3390947403169014
19786,0.20492742955684662,0.2623467540646637,5.516248,0.3290441085558853,0.31589960950379165
20341,0.17399773001670837,0.2249831924514745,4.61231,0.33739250978840385,0.3274815165778074
20909,0.13642510771751404,0.18433504971590908,2.673042,0.33096799649723035,0.32529748085695664
21417,0.6093888878822327,0.5449641818936877,9.597035,0.3200885070598007,0.36962110672757476
21931,0.4925119876861572,0.506799169045677,13.468668,0.31523241231647636,0.364003288132137
22465,0.26942428946495056,0.2794076592506859,5.7273426,0.3771329518175583,0.3717022998113855
23001,0.23604269325733185,0.2682272905809319,6.5979943,0.36599869232832616,0.35412120152513793
23536,0.2344064712524414,0.2758509996436593,6.1674156,0.38029624870421563,0.3677376684519696
24042,0.19578801095485687,0.24364146706586826,6.0514717,0.3373857129491018,0.35877231474550897
24572,0.16051940619945526,0.19186106114175513,3.2168286,0.3852453135368281,0.3805680781353683
25079,0.14953398704528809,0.18774497948743923,2.96816,0.3677401742301459,0.36217172305510537
25581,0.45503678917884827,0.47588299530480294,12.709273,0.3571576980064655,0.4023929389239532
26146,0.35973885655403137,0.348122483937866,9.115721,0.4101097918022121,0.3984063414931685
26711,0.307620108127594,0.31947527743465093,8.817556,0.411236128267453,0.39700116552438636
27256,0.2913236618041992,0.329811358271757,9.507599,0.37215122126436784,0.4028372331691297
27823,0.19983437657356262,0.21762176483366436,4.342778,0.4004121669149288,0.3954008658142999
28365,0.16411040723323822,0.18696842063044491,2.7197034,0.396052475497822,0.3931871548304294
28922,0.15359583497047424,0.17975338206571692,2.467827,0.38974417892156865,0.3870621744791667
29458,0.429386168718338,0.38125087597626045,10.750205,0.4391101531085679,0.43137826708939064
30001,0.3933112919330597,0.36844712798642143,10.148588,0.4534567291165349,0.4412948500343761
30580,0.36028242111206055,0.3446585323033708,12.673024,0.4506592345505618,0.43456680126404496
31118,0.30979254841804504,0.33327318723556965,11.862075,0.40534531769416743,0.435848585297673
31653,0.26963213086128235,0.30031260979465957,8.883707,0.4639861805121799,0.4484922509369144
32172,0.2163745015859604,0.24969450505613658,6.8782287,0.4143456820978161,0.43516014303291295
32722,0.5145084261894226,0.4517689177089519,10.52827,0.4526584768408551,0.4523308528800475
33256,0.42657706141471863,0.42597095152114267,10.824839,0.4312650298579729,0.46988359425435766
