t_env,loss,grad_norm,q_taken_mean
2962,40.88395309448242,746.01636,0.9127888145678595
3471,31.4488582611084,353.31235,3.4994604551796304
4015,15.1358642578125,171.59058,2.336328911493289
4535,12.183524131774902,96.22381,2.7078246479785766
5082,13.193609237670898,143.60272,2.8548628769628834
5593,11.42154312133789,139.24219,2.460751675041876
6137,17.168588638305664,221.29504,3.5054535256410255
6637,12.983941078186035,162.51999,3.0953651506126616
7141,12.02965259552002,169.00104,2.8561966504290313
7657,10.901180267333984,171.87563,2.9754916082164327
8172,10.688920974731445,105.21728,3.082264244500541
8680,16.758056640625,128.60883,3.160843504551946
9201,10.692658424377441,153.79965,3.685916656373518
9703,9.544753074645996,138.32631,3.577389801490985
10237,9.558854103088379,148.28358,3.6953202051778797
10737,10.537422180175781,128.83682,3.4340771711181155
11276,16.822050094604492,170.4096,3.4167903862126248
11783,10.000205039978027,163.36333,4.150692250565824
12291,10.70565128326416,186.60402,3.9597600388036276
12812,9.614521026611328,181.42918,3.4982214215158045
13345,8.946239471435547,183.42064,4.025572343306108
13908,14.691752433776855,200.14153,3.477286408080634
14408,11.392476081848145,289.5888,3.618990777806474
14956,11.21405029296875,322.0757,3.594937301657264
15468,10.595791816711426,267.4913,3.50726518671108
16026,10.148380279541016,281.19855,4.415609547356409
16530,14.564913749694824,225.64194,3.8232032865265335
17038,10.207942008972168,300.72086,3.7988943154430848
17547,7.535643577575684,195.51077,4.377391327854672
18058,8.928474426269531,271.2962,3.6331724768188303
18569,9.42332649230957,230.08223,4.515073041902404
19107,12.942976951599121,260.28464,3.6343895755597013
19628,8.646319389343262,220.26694,4.648891598067287
20168,8.240242958068848,210.94875,4.488507815469403
20698,10.596881866455078,381.37885,4.523600847152127
21226,8.46446704864502,282.6959,4.445308212129528
21769,10.808907508850098,383.55875,3.703710863713638
22284,8.499056816101074,306.13077,4.429558070774121
22821,8.087544441223145,279.89764,4.359394462826002
23336,6.963347911834717,228.69661,4.2633483346168655
23871,8.345602035522461,282.71332,4.635475360138585
24394,9.997971534729004,398.23456,4.144392750542692
24979,7.808663845062256,265.24472,4.264861098042905
25481,7.6583709716796875,186.23277,3.8570721531413614
25989,9.856475830078125,446.41263,3.9168479834040912
26505,9.9913330078125,383.00897,3.6358353406744666
27057,8.022703170776367,390.46408,4.23269503628582
27568,8.45991039276123,423.93677,3.5254224981705087
28140,11.108389854431152,531.37494,3.6543429110006973
28690,10.15499496459961,477.76944,3.837535737370724
29239,9.034981727600098,441.45917,3.657495761115298
29826,9.690940856933594,492.26974,3.6347779667872095
30329,9.560676574707031,505.7657,4.1841508709016395
30839,7.524470329284668,414.42563,3.9450258383605394
31382,7.995244979858398,432.94257,3.2202270855591166
31952,7.410923004150391,393.4423,3.98242130846628
32499,10.88834285736084,574.02325,3.8575327894685802
33028,7.239383697509766,404.34152,3.9257904925238254
33622,9.407252311706543,551.53394,4.0858361185383245
34176,7.657980442047119,400.23712,3.2852578475336323
34703,7.905920028686523,425.2253,4.410741450471698
35227,6.598402976989746,346.7776,3.817698674378826
35772,8.852469444274902,509.86008,3.247327923572744
36308,7.569333553314209,386.40274,3.915013354219257
36829,8.75908088684082,548.92053,3.50938013136289
37380,7.785341262817383,454.90625,3.8409382917119075
37899,7.367197036743164,397.57025,3.766811010838409
38399,7.415493011474609,469.7666,3.5038561632518177
38939,6.984455585479736,401.72192,3.786509260482734
39587,8.36854076385498,458.0376,3.145511189012678
40143,7.113662242889404,365.17496,3.9854490510133975
40697,7.097575664520264,340.7303,2.8282568897637796
41232,6.858185768127441,359.21326,3.380013531367201
41744,9.444456100463867,535.89044,2.8324041380675817
42318,8.705438613891602,495.5364,3.2330837673611112
42885,8.518396377563477,507.48254,2.8172108318924867
43559,8.505827903747559,449.40323,2.7147719816272966
44074,9.59572696685791,538.95953,2.81665749830738
44587,8.750758171081543,477.7493,3.0279176660934106
45183,9.358844757080078,564.2387,3.716547705564784
45743,7.1771769523620605,389.0592,3.0129882473062217
46298,7.271662712097168,396.10312,3.3733820883075842
46921,7.380240440368652,449.8764,3.492407859051166
