t_env,episode,epsilon,episode_reward
50,1,1.0,42.0
550,12,0.9905,0.0
1050,22,0.981,34.0
1550,32,0.9715,21.0
2050,42,0.962,51.0
2550,52,0.9525,19.0
3050,62,0.9430000000000001,0.0
3550,72,0.9335,20.0
4050,82,0.924,4.0
4550,92,0.9145,50.0
5050,102,0.905,33.0
5550,112,0.8955,0.0
6050,122,0.886,34.0
6550,132,0.8765000000000001,15.0
7050,142,0.867,44.0
7550,152,0.8575,12.0
8050,162,0.8480000000000001,13.0
8550,172,0.8385,85.0
9050,182,0.829,1.0
9550,192,0.8195,31.0
