t_env,loss,td_error,grad_norm,q_taken_mean,target_mean
2752,3384.693359375,53.0907465025436,65757.94,8.610302355862403,17.125811909520348
3297,1031.314697265625,30.93345784231201,27790.895,11.465335258448684,16.196316950367876
3824,422.7187194824219,8.17503977218963,9208.391,22.88940472811002,21.892117319581125
4367,1130.9649658203125,29.4123280416984,43157.312,22.50665024435136,17.604595074892103
4915,564.6749267578125,19.69442878617061,17136.738,14.637480622886134,17.36839416572717
5470,294.53253173828125,8.174021035221767,2457.1694,17.92923033917257,18.260461315070195
5988,367.76513671875,10.950903588598901,8652.7,20.987118437118436,22.057703754578753
6514,460.8673400878906,11.02679778616441,15946.21,23.951612271131175,22.116405662151994
7052,425.98236083984375,9.032372656547393,12848.042,23.559708476081717,22.061060620479633
7566,374.9617004394531,7.2071065005640405,9908.421,23.58591671005438,22.419678497049635
8087,356.3448181152344,9.317611961163074,5547.5166,20.513151094618408,21.241006676155617
8626,327.7278137207031,10.301477668745415,7536.813,20.150105465884078,21.15095951027146
9136,350.4215087890625,11.246808216211013,8424.598,19.912061994609164,21.045200391477344
9660,336.3589172363281,6.582850421880925,8585.198,22.14474307925673,21.069132378965996
10166,318.5052795410156,5.4416759193206925,6516.7563,22.068097615979383,21.249913705817377
10672,275.2156066894531,7.04493147085223,3383.7688,19.665767117031997,20.124551209372637
11191,314.9639587402344,8.139319733687476,10452.497,21.329139635828007,19.973108233045004
11712,323.9747009277344,10.881730743744699,7632.0815,19.114285146310433,20.177659828244273
12237,321.7586364746094,10.894750859748804,7844.7676,19.209996760366828,20.305327119883042
12760,287.46551513671875,5.291610287274686,5964.476,20.961104852403345,20.165105391196448
13298,283.4653015136719,7.3059367366591506,9186.315,20.919835509833398,19.703402934360515
13844,259.7882995605469,5.687194409013605,6849.756,20.547937925170068,19.619600733812042
14349,287.5599365234375,10.765507139008621,7678.0674,18.249219605227147,19.364100129994526
14870,286.4098815917969,11.771288180727991,9306.876,18.15570722034111,19.513426448457487
15394,251.69398498535156,5.887688639846262,2158.5432,20.000644761521972,20.25540929796356
15906,246.79815673828125,8.981779849216473,6482.7314,19.213461947278912,20.09801878340622
16406,254.981689453125,9.358756572657743,6633.7344,19.219251912045888,20.142913479923518
16929,272.6065368652344,6.685557123781859,8378.036,21.327408561344328,20.22392124250375
17460,265.9183044433594,10.531615332733812,8003.043,18.82435630443014,19.962802126719676
17981,266.8819885253906,8.439362811620427,10516.944,20.72117511057499,19.314772232274493
18514,272.329345703125,7.301922719055721,9092.579,21.01090183255352,19.80031768396427
19037,246.12130737304688,9.283774654200819,6331.8394,18.680317196038253,19.577548668032787
19561,239.9067840576172,5.8828637295081965,7021.767,20.394471482240437,19.441724299863388
20091,248.34927368164062,10.375160040002038,7748.175,18.258607657290394,19.374095495311863
20620,207.0891571044922,6.948303290447982,8349.731,19.432123904726645,18.277453180920645
21156,189.42843627929688,8.658190006420387,6145.3936,17.391285559067562,18.29367509548268
21667,198.98570251464844,8.901830471416382,6234.957,17.627606388651877,18.532849829351537
22184,188.41030883789062,5.494293103769368,6259.3096,19.486260098000265,18.594956379949675
22702,182.30252075195312,7.6173627709674365,8878.455,18.9494154676259,17.68398767827843
23233,181.70834350585938,6.950508159648751,8076.529,18.702642297926364,17.54737092678798
23788,169.95556640625,8.577065927459342,6198.5986,16.8778117975671,17.8080726067698
24332,170.5927276611328,5.814770754419192,6585.5845,18.68433080808081,17.736868686868686
24839,129.7515106201172,6.502294090252433,4165.1094,16.27564565592052,16.89092068802379
25339,123.5595932006836,6.925814069216491,4745.0645,15.979692791780643,16.70276373420607
25858,141.94921875,7.20893730104593,4685.517,16.331810387297256,17.0279198878278
26398,141.9901885986328,6.036638257575758,6734.161,17.6267803030303,16.62406776094276
26907,116.78621673583984,6.285680487472767,3884.5432,15.832828385984023,16.430617964778502
27447,107.79641723632812,6.5539241471613545,4400.598,15.353799385790172,16.045056233399734
27950,152.3124542236328,6.997684990466577,7886.6855,17.702195023927022,16.537159320323013
28465,113.47637939453125,7.111597222222223,5036.353,15.574478114478115,16.354421296296298
29000,123.49304962158203,7.921087297290492,5774.9023,15.17953431372549,16.103273779546065
29503,86.3209457397461,5.6720915747673,3686.051,14.855127815998921,15.432973534668825
30008,122.58319854736328,6.99144179021121,7551.0767,16.36248476848091,15.1979769580964
30534,111.38958740234375,6.359906370896069,6799.621,16.373429440262093,15.31843697720619
31045,98.85675048828125,7.026476066680961,5021.568,14.86803508254717,15.669264133076043
31558,94.0536117553711,6.662910234688755,4668.189,14.670931643239625,15.428031919344043
32067,78.71157836914062,5.5245440001299375,3576.682,14.543086235273735,15.1145854989605
32577,75.10039520263672,5.776120973093629,3819.3318,13.777139639639639,14.425982343951095
33089,107.6080322265625,6.7169663858486945,7145.9243,15.823901729710702,14.709427403353814
33658,103.18374633789062,6.251142275040307,6483.5093,15.83450263670563,14.793628451229344
34204,90.33505249023438,6.605086671492922,4463.333,14.400457377019878,15.143632471757472
34708,107.82292175292969,8.140174335031787,8542.507,14.809396230678136,13.452794853216156
35256,55.28428268432617,4.59868022618319,2799.7236,13.56185825513396,14.041649666802666
35795,61.93162536621094,4.971152301012035,3016.4019,13.684965353756382,14.204684080962801
36324,96.13800811767578,6.645785812043796,6819.964,15.415887317518248,14.310197857529062
36825,99.95975494384766,6.919644194289138,7090.1636,15.710640059238552,14.55851158978967
37362,73.3934326171875,6.559753467310024,4683.3945,13.389086078550257,14.202161858326596
37882,48.85462188720703,4.495410502685258,2836.469,13.336071968203916,13.827080048613848
38434,58.85453796386719,5.043659862124577,3211.3684,13.568312006486181,14.119150539340101
38987,51.30486297607422,4.474449771718944,2694.2002,13.344606591346816,13.81996964850736
39524,80.7864761352539,5.856203125,5816.855,14.75163888888889,13.779046626984128
40056,62.024330139160156,5.83161197114459,4082.02,13.07561108169683,13.789165784238223
40559,47.52565002441406,4.188888304486535,2480.483,13.06654022642015,13.501207881162916
41064,91.95687866210938,7.3294518468813905,7293.21,14.87328306066803,13.65170841854124
41587,49.43803024291992,4.5055153544881446,2802.2688,12.6601136149793,13.161285833019697
