t_env,loss,td_error,grad_norm,q_taken_mean,target_mean
2634,1342.0240478515625,31.427698288408,29801.795,3.7730374166877585,8.821777714502657
3144,74.93363952636719,5.761879333828628,1326.2716,7.3669856416130095,7.455068773732871
3650,87.82711029052734,5.47150892638787,1136.0397,8.972501171843156,8.91488661143719
4170,67.2540283203125,3.911873933116077,834.99097,8.806255172770536,8.475916873577487
4675,88.55075073242188,5.834995708773849,2002.7965,9.039499534167781,8.110636417952769
5200,60.2479133605957,4.120008595385269,540.3005,7.950419991714635,8.259991496598639
5731,57.96701431274414,6.08742131660169,1285.4307,6.501114089235434,7.287136533463288
6283,35.09741973876953,1.691018364168545,381.2666,7.466970844811754,7.236266982844978
6822,49.54151153564453,5.110359821788159,969.3495,6.658056031010874,7.269090929431243
7420,47.097599029541016,4.902549184261036,928.36316,6.672459479633184,7.2575015994881635
7950,34.12608337402344,1.5083454914923156,101.962906,7.39590463429334,7.346798452365578
8491,32.614925384521484,1.5487424746514575,197.80855,7.470063635403465,7.351550617870722
9048,34.712589263916016,1.6767877542747642,253.21101,7.567959468902865,7.412820470824598
9556,34.96043395996094,1.6746240921350786,238.04471,7.52155624323593,7.371494662022005
10081,34.25014114379883,1.6431162176652756,212.7912,7.521795232732733,7.389428490990991
10582,34.36090850830078,1.5536660817681978,103.16426,7.5644753416807236,7.520351493231262
11118,31.794328689575195,1.6527498246913,122.58065,7.610975303998997,7.5337565553048345
11620,43.582820892333984,4.636723748400512,856.9291,6.922037614629985,7.470689379398593
12168,40.485313415527344,4.168798533564369,734.47296,7.0097695524750785,7.475590825953023
12687,30.16155242919922,1.620519513914571,228.45726,7.521073461127548,7.381456484220907
13216,30.373014450073242,1.64021400858027,136.02908,7.623605120030008,7.557110631824623
13743,40.51688766479492,4.212537903630651,756.846,7.101637058988643,7.5764226259878225
14291,31.000751495361328,1.608315500669472,213.30615,7.69951064779393,7.569709443806852
14816,31.120641708374023,1.6058181263732714,227.56235,7.653407193787428,7.512214036448236
15318,40.010765075683594,4.215271991892161,755.0119,7.086232839235973,7.561726245744351
15827,30.885709762573242,1.7014986989591674,187.67345,7.723460713014856,7.661070523085135
16335,36.53108596801758,4.100259663436817,750.23566,7.0255455392724,7.498101860779021
16875,38.186885833740234,4.034111817302649,731.818,7.196065816504939,7.644840294169071
17383,39.19194030761719,4.276046831614439,791.9598,7.077432208338843,7.573252043941999
17926,31.252660751342773,1.4716322350959576,163.45726,7.754349139104396,7.669846110657411
18446,30.11641502380371,1.7078732723825831,268.35757,7.85592520113068,7.692456240487062
18964,29.32741928100586,1.6046688839937608,308.35223,7.850603870746493,7.666928708128678
19514,37.888397216796875,4.1374533544859515,803.7277,7.210316890166028,7.692207455300128
20017,31.626188278198242,1.6943807188683213,265.3527,7.911345124573459,7.751725885803768
20559,43.11826705932617,4.6488035352048165,937.7698,7.2453158399860405,7.812193266588143
21094,35.30501937866211,3.9869616972946584,786.2573,7.343229691567985,7.805574583228353
21610,34.155460357666016,4.004079911815291,774.11945,7.261764721789547,7.730209820655936
22126,29.379281997680664,1.7167618474730673,289.131,7.910769169835234,7.747652619349387
22632,27.647140502929688,1.6249824499550718,307.40292,7.937480586616968,7.759635971334753
23140,25.469331741333008,1.3740008706438689,171.34288,7.88757920238539,7.804036215678966
23685,30.136791229248047,3.5286270393844066,646.4176,7.432008954272555,7.828167406859117
24193,25.96402931213379,1.7309634625126646,424.95978,8.026686112166498,7.790718797492401
24751,32.25968933105469,3.7183287079770695,720.893,7.348799768968346,7.771091084769184
25285,31.23769187927246,3.7899704560458116,750.86743,7.430187095717678,7.877237625890444
25813,26.971811294555664,1.7552128807722158,336.026,8.0693945910404,7.872194735480533
26329,38.369850158691406,4.329617940804821,874.2301,7.346462842362191,7.872402583376534
26838,23.845537185668945,1.5642725142406066,219.1908,8.004593488194974,7.8796681951849035
