t_env,loss,td_error,grad_norm,q_taken_mean,target_mean
323,1.1861257553100586,1.0700961369848103,3.188833,-0.044337497037999773,1.022866452810565
847,0.07569985836744308,0.156676882264242,0.2082515,0.8179480933040553,0.8842238938877348
1366,0.04589179530739784,0.13621409043021823,0.31938696,0.9372665405273437,0.8967628810716712
1878,0.3567321002483368,0.5541992988486303,2.748197,1.4286785776533792,1.9055494573798393
2389,0.13911935687065125,0.17443672446317451,0.38745654,1.8326671511627908,1.9109587558480197
2923,0.12510579824447632,0.16967183289212218,0.20924182,1.8113386307028527,1.8502146225773084
3437,0.12653571367263794,0.1623911158658006,0.18883687,1.8601875429433021,1.8809472497200732
3965,0.22619493305683136,0.17061649479278146,0.33895865,2.8385979639340753,2.876374545162671
4483,0.2206803262233734,0.18652259226095572,0.2612671,2.8178760762117347,2.8228503524735786
4985,0.18092024326324463,0.18982315063476562,0.27068737,2.8181850389502516,2.858775347128682
5487,0.3896828889846802,0.2633623512842322,0.74780566,3.546583825114807,3.6120813294550853
5998,0.2572368085384369,0.21005803520546668,0.36870906,3.773855194172745,3.77377489327752
6527,0.2060636430978775,0.19852088230798778,0.35598603,3.7322839118767313,3.754812478358726
7057,0.5097615718841553,0.3628778720120771,1.5218531,4.472744349675076,4.577196220374618
7569,0.3541134297847748,0.2926410576675546,2.0251591,4.760289233188574,4.633714561134491
8085,0.28372833132743835,0.22881340912989112,0.89597887,4.5246371088217066,4.588158626394299
8608,0.19095316529273987,0.18482676828940084,0.23057808,4.649367925688976,4.649875751004757
9126,0.3714357614517212,0.2929393768310547,4.22401,5.49112548828125,5.342679036458334
9640,0.24923978745937347,0.19244452415428726,0.5666614,5.49991400958282,5.525804341133005
10165,0.23298102617263794,0.23005112704499672,1.5063391,5.267955819904182,5.336097424869338
10690,0.5615574717521667,0.4311624229501147,2.6865501,6.096046191107607,6.33753523987003
11295,0.49725618958473206,0.4991687892638531,10.268657,5.818573732146692,6.233261265705541
11827,0.3497137427330017,0.23328525746235995,0.66340613,6.393551268163516,6.420535303965337
12349,0.33515989780426025,0.21186471868444373,1.2446375,6.552864922417535,6.5292482729311345
12858,0.22251130640506744,0.23425653007593047,1.7508198,7.037485872761587,7.120412762245436
13366,0.4308801591396332,0.2412963226398458,4.3367567,7.3194205216535435,7.195565611671588
13876,0.2134188562631607,0.2769910861284305,6.2247386,7.124384953425481,6.964944692758413
14437,0.3566282093524933,0.3131268402266372,8.509235,7.369063914147882,7.123378399291325
14959,0.311319500207901,0.43035426139831545,8.25411,7.029568481445312,7.40877685546875
15468,0.19875697791576385,0.21599806400767543,1.7341056,7.621835350093985,7.721356002310464
15994,0.26806721091270447,0.19607923385944773,1.4235303,7.5378288106715425,7.57565632272274
16504,0.25299397110939026,0.22627201396457397,2.0674794,7.586720503496202,7.651683491237915
17086,0.27688390016555786,0.34337782628327895,11.1228285,7.239096039707221,7.510301904770935
17604,0.5161759257316589,0.4115455132026177,5.500731,8.610293222402598,8.71982421875
