t_env,loss,grad_norm,q_taken_mean
1007,31.527896881103516,292.22726,3.2190151254585953
1529,72.68780517578125,264.69986,12.725683695581335
2119,25.07868194580078,282.54868,12.375197660946894
2623,17.066959381103516,288.77087,12.55054352114899
3151,22.3978214263916,484.10165,9.828499619581354
3656,10.176740646362305,195.23909,11.673811638840617
4161,14.715145111083984,237.17924,13.376411388856946
4685,12.711841583251953,338.9591,14.912218314243027
5188,12.404128074645996,274.2281,13.482404849003736
5697,15.104776382446289,364.7391,13.079326222474092
6208,11.722121238708496,378.24973,13.286720634800965
6717,14.543146133422852,368.30698,12.571299820226438
7223,40.633872985839844,289.21072,12.558212451720506
7731,14.753728866577148,406.1838,13.798119638480392
8234,14.79825210571289,490.76477,13.113052567525125
8734,13.60102653503418,370.84796,13.024706729531411
9290,20.455507278442383,497.24084,14.490280330882353
9817,10.864716529846191,270.02377,12.16135976012324
10318,8.426408767700195,342.29007,12.15026807970574
10825,10.934971809387207,365.73532,12.785659790039062
11362,9.516502380371094,44.82469,11.041757304645179
11892,8.326522827148438,270.12863,10.800963526937217
12408,10.932988166809082,420.1234,12.335987236777669
12921,8.650822639465332,360.93262,10.362033884836723
13444,7.101961135864258,243.5553,9.629962692612327
13946,7.119291305541992,232.9235,11.149373332929194
14449,6.200441360473633,176.14436,9.470281232867325
15009,7.420117378234863,239.40724,11.363414160533301
15538,5.313547134399414,123.20929,8.497868197949527
16090,8.649559020996094,291.16028,12.323069273222478
16602,8.060871124267578,482.08484,12.19353903604684
17116,6.485870361328125,155.92105,11.302485039893616
17627,6.982086658477783,307.2227,9.699189402525906
18178,6.392035484313965,256.51144,10.726558105029254
18678,6.365206241607666,374.85275,13.518043906628941
19193,5.718223571777344,168.36894,12.114738688068757
19732,9.410940170288086,328.73636,12.987425361127002
20286,7.939999103546143,238.04587,13.507362739872068
20797,6.045125961303711,154.57677,12.16357597200404
21313,7.42147159576416,271.1741,10.743768297249455
21899,4.424675464630127,143.33342,12.177120632595486
22405,8.850646018981934,425.9308,12.25662352390553
22950,8.266419410705566,246.41603,12.023201367736645
23494,7.327420234680176,203.6183,12.838657256309835
24027,13.996543884277344,595.05634,13.950962949237658
24568,6.822333812713623,332.82095,13.594989546193373
25072,7.484206199645996,318.94113,11.487538769897004
25572,8.445720672607422,341.84283,12.151679465763955
26100,9.328094482421875,402.30814,12.089743806916738
26603,6.390145778656006,155.39337,8.567594697643793
27164,6.078798294067383,290.65912,13.064121654699738
27727,6.01492977142334,208.76454,11.739319471042247
28340,13.069809913635254,594.8917,15.068041666666666
28903,7.482614517211914,194.0511,12.956248759357985
29504,5.573676109313965,243.18643,14.108590037338764
30026,6.650790691375732,245.81578,11.559351906221357
30676,12.232681274414062,614.6004,14.076115941853715
31230,6.127225399017334,205.21255,10.447918088155022
