t_env,loss,td_error,grad_norm,q_taken_mean,target_mean
2443,27.918655395507812,4.824661261128735,147.28867,0.05061133948901014,0.729125912318724
2965,11.313963890075684,2.7826396317237165,25.664225,0.7408602322920305,0.8660634127772442
3471,7.307135581970215,2.1981982307701675,64.00941,0.5902603195287273,0.8652247518198141
3991,3.502769708633423,1.346888191469254,27.247282,0.9016845140588998,0.907242426015265
4518,2.3696939945220947,1.0801137462004053,29.662725,0.9364254717592029,0.9131362297545405
5038,10.433822631835938,2.6020092854011962,60.029884,1.204276063767091,1.3207203218926804
5586,6.905735015869141,2.359167590184154,208.77907,0.9730619652975493,1.2958377601113715
6156,2.2243294715881348,1.0110654598904638,53.18724,1.3468667157584684,1.3128763576951399
6660,4.8968024253845215,1.944406238106242,183.25482,1.1015275469148076,1.3564861517818305
7192,1.5329927206039429,0.8121470458118628,22.955393,1.3323844747340425,1.3236231161347518
7705,6.0706963539123535,1.8434305636682242,241.09836,2.1531223178523744,2.0154192445085513
8226,9.114484786987305,2.6812107110002232,374.9192,1.633780475420543,1.9967488570472791
8756,8.407899856567383,2.6705290864901525,366.1395,1.5082567080916973,1.8768450167949013
9289,2.337916135787964,1.0596352869770915,106.42893,1.951191217273762,1.876459563531588
9805,4.596461772918701,1.305944754691314,128.69685,2.5475594905120307,2.5118220479048006
10327,9.596555709838867,2.45770312327004,557.67523,2.975333981162217,2.68172662873276
10841,5.229913234710693,1.7115085616213805,348.0919,2.77763014432588,2.5970237470775133
11365,8.354656219482422,2.5795203482750617,487.30463,2.1406726540399577,2.485657745462046
11871,10.135906219482422,2.4712826377467105,489.73257,2.9633801300125313,3.2820057957393485
12372,12.650351524353027,3.100160785499477,689.52545,2.785942403242678,3.1968278354751942
12889,5.451174259185791,1.4608164802065404,262.4937,3.3375405320260634,3.2360992919381606
13420,16.804733276367188,3.787196305497121,907.2959,2.8925640381817033,3.4049488228362645
13938,12.857179641723633,3.078705313318063,740.40405,2.9835793365120917,3.4032587143168787
14454,4.190638065338135,1.2971525350912663,173.86737,3.471091996468181,3.4205861541127542
14985,3.62475323677063,1.2958092038170164,202.42715,3.5466725982350984,3.4720336954711954
15526,8.38440990447998,2.15333974316772,285.94305,3.482725189355939,3.442822762005083
16043,4.192800998687744,1.505980429000925,337.3015,3.4298808250462534,3.3048212014338576
16556,2.778104782104492,1.205478968845775,193.75327,3.3654435162309233,3.2905115848605204
17086,14.162755012512207,3.4509389042075163,886.0124,2.7916278490562894,3.278093268557423
17641,11.990872383117676,3.1717251314975248,839.83936,2.9424675965683305,3.388205529736647
18141,2.6309351921081543,1.21440953172548,232.85197,3.44713917870519,3.3445904498562067
18644,2.529273271560669,1.1607655243047492,178.1446,3.4070581539048503,3.335602108353792
19154,11.562902450561523,3.154143389114316,813.01917,2.9053176815740307,3.346883444818843
19684,4.5010762214660645,1.559573813188728,378.7719,3.653927172634853,3.5033929638305135
20186,12.670201301574707,3.237440048175892,802.0971,2.6782242517317996,3.1358017947000394
20691,2.5353448390960693,1.1339604215801886,214.77052,3.3762997435609465,3.2947649932614556
21225,2.678748607635498,1.203613523453001,250.36421,3.7040354064803003,3.5906976885806405
21763,12.155513763427734,3.0753608865940825,751.83624,2.7410766230528116,3.173972581053698
22298,11.012704849243164,3.043415526257232,779.0372,2.9999036413630873,3.4289245780087736
