t_env,loss,grad_norm,q_taken_mean
2500,49.059696197509766,901.77655,5.9541296875
3000,61.23649597167969,927.12683,9.24496953125
3500,53.56964111328125,800.35583,8.6605171875
4000,45.454647064208984,673.9165,8.985509375
4500,37.27821350097656,559.4057,9.2366125
5000,33.009700775146484,462.2729,9.1343046875
5500,20.779495239257812,352.2695,9.36476953125
6000,18.995895385742188,307.29062,9.1965921875
6500,17.780750274658203,272.91254,9.06761171875
7000,17.57725715637207,260.65182,9.1421453125
7500,18.091711044311523,247.40685,9.25179609375
8000,19.3898868560791,300.2797,9.17069140625
8500,17.821552276611328,270.8479,9.1073109375
9000,17.505189895629883,244.84583,9.13439375
9500,17.505821228027344,233.90602,9.13834609375
10000,17.2967586517334,223.35484,9.1703859375
10500,18.505647659301758,267.42725,9.2291734375
11000,18.525554656982422,250.18602,9.35775546875
11500,17.146591186523438,226.63565,9.0866265625
12000,17.66204261779785,221.47617,9.28542109375
12500,17.723745346069336,216.35268,9.3793609375
13000,17.2800235748291,251.7172,9.09010390625
13500,16.797622680664062,232.75406,9.06918046875
14000,16.060283660888672,214.49213,9.052646875
14500,15.289323806762695,195.85799,8.901221875
15000,16.50046157836914,200.45059,9.16902265625
15500,16.155048370361328,231.14584,8.52769375
16000,16.692832946777344,223.43285,8.425953125
16500,15.413723945617676,192.92921,8.036859375
17000,15.793041229248047,195.51685,7.90880859375
17500,16.322816848754883,201.25261,7.96968046875
18000,12.650741577148438,219.18774,7.883053125
18500,11.693950653076172,198.66475,7.6877796875
19000,12.335086822509766,203.71075,7.858425
19500,12.112971305847168,193.01576,7.80153125
20000,11.55346965789795,185.92397,7.707303125
20500,11.889153480529785,209.93575,7.68511484375
21000,11.779619216918945,201.43825,7.7011015625
21500,12.287147521972656,201.00563,7.8628921875
22000,11.469228744506836,183.98615,7.72284765625
22500,11.91158676147461,187.93774,7.83261640625
23000,11.172542572021484,190.97679,7.5154171875
23500,10.988171577453613,188.41632,7.549059375
24000,10.507493019104004,178.82669,7.46216875
24500,10.63106918334961,178.66867,7.541484375
25000,10.726181983947754,178.83708,7.535728125
25500,10.808252334594727,204.54854,7.397334375
26000,10.54745101928711,197.41588,7.441196875
26500,10.366528511047363,188.12865,7.39448125
27000,9.892446517944336,171.18948,7.33895078125
27500,9.395063400268555,161.99518,7.2797328125
28000,10.093147277832031,206.11586,7.1917359375
28500,9.844305992126465,190.50339,7.22243828125
29000,8.937817573547363,174.31876,7.1137765625
29500,9.245182037353516,176.11751,7.20876640625
30000,8.530203819274902,160.49887,7.13112265625
30500,9.969515800476074,206.18881,7.20355234375
31000,9.262207984924316,190.83131,7.08567265625
31500,9.097147941589355,184.71828,7.07468203125
32000,8.741816520690918,176.57877,7.1242359375
32500,8.72947883605957,168.86311,7.16106640625
