t_env,loss,td_error,grad_norm,q_taken_mean,target_mean
2622,0.8420833349227905,0.7193432587923614,10.731819,0.11689501315400302,0.20808031092871931
3138,0.5365599393844604,0.47397789927086803,0.98316276,0.31154284083971584,0.3454597238079381
3642,0.43492648005485535,0.40534645313700574,1.7345431,0.329321846265399,0.33469602802850557
4192,0.3833925127983093,0.3668449098832167,1.128892,0.31155385249506523,0.31880709082499853
4695,0.3722638785839081,0.32861663968820376,0.47804183,0.3302897872772884,0.3388283892594106
5218,0.7889888286590576,0.6423801416569683,7.1259933,0.4415065567978719,0.42644215782035827
5766,0.5355435609817505,0.45643955979459816,7.095884,0.4350844626247828,0.4074783972437055
6311,0.5423014760017395,0.5428639126248646,7.539469,0.3648503854469336,0.4227123893733989
6824,0.3778972625732422,0.3811347502514832,3.8969178,0.3776294941804847,0.4064216326950188
7359,0.8631963133811951,0.7863572424479323,15.818208,0.3598545186298231,0.4588408834417722
7870,0.6091833114624023,0.6189595248235581,12.094584,0.39396105945572435,0.4669217505997288
8391,0.4717797040939331,0.5099892143427721,9.528845,0.41600172944343006,0.47000945389724863
8916,0.39895299077033997,0.34549883570904244,4.8323526,0.5087225850910834,0.49230674468822766
9433,0.6908386945724487,0.597336926845212,12.526583,0.5649951015039949,0.5435824949225635
9962,0.6527184844017029,0.6498265737631062,16.084784,0.4717228749297884,0.5501511742885228
10494,0.4244053363800049,0.4564057037609966,8.553801,0.4999094364308223,0.5420220822704082
11032,0.4222634434700012,0.40497780685550083,9.147688,0.5584694610602862,0.5277674173117523
11566,0.5727975368499756,0.5161456408763577,14.855677,0.6224494399540375,0.5864598192802145
12124,0.5941749215126038,0.6176759981674811,16.589182,0.4927355486563795,0.5681774653442008
12639,0.44209617376327515,0.4446440606529804,13.295755,0.623411015759737,0.5814449335522061
13140,0.43077805638313293,0.45119118812529085,13.355686,0.634194475835937,0.5914517520014055
13668,0.6378036737442017,0.6333231832784622,18.604733,0.5270349643680752,0.6054167325915073
14183,0.4621647000312805,0.4766081597671934,14.298015,0.6460652880825948,0.6055661767766943
14713,0.3768501579761505,0.4155752820032334,11.271771,0.6149542635984435,0.5866565419034555
15229,0.3957383632659912,0.43398526077097505,13.364726,0.6407797387662548,0.6035363954255172
15752,0.4385497272014618,0.44965010743880884,11.346645,0.6610924875902742,0.6324324372606185
16293,0.43672803044319153,0.4964816009363213,15.490622,0.5561456018050784,0.6155327965035023
16832,0.3115122318267822,0.3818265071101489,8.272216,0.6258082495972659,0.6055665479231379
17373,0.49053627252578735,0.5383914096441349,18.096262,0.5428532353236465,0.608676777956263
17939,0.4257485866546631,0.4369271632507672,9.739274,0.6626772489464878,0.6414623855899221
18457,0.5577832460403442,0.5799400181712132,20.978416,0.569331867768807,0.6427658060711722
19029,0.4983091354370117,0.5320385812069022,18.602617,0.5945182248104159,0.6584261650356864
19569,0.3714369833469391,0.44683818727310637,13.622777,0.5810931601349331,0.6293226596957464
20108,0.37106645107269287,0.42688224712774386,13.508852,0.664585163101806,0.6281611324685996
20618,0.4552978277206421,0.5277085758608168,18.61022,0.5891680423664681,0.6546249450737233
21183,0.5833012461662292,0.606092463804075,23.56686,0.534213626066487,0.614318579393343
21728,0.3969927132129669,0.4351527334752963,14.563618,0.661442951639956,0.6243502697480879
22257,0.5367645025253296,0.5691569089773282,21.60277,0.5642199866027896,0.6372189687521767
22791,0.5436277985572815,0.5753247601898566,22.056793,0.5472089323647674,0.6208695873795614
23313,0.2907821834087372,0.3621082872110833,8.261885,0.673239149460954,0.6523005803198473
23819,0.3442496359348297,0.4189758183691169,14.225918,0.6851349677068679,0.6477144587132078
24413,0.6267485618591309,0.5561476818700706,18.752022,0.5744786901373252,0.6391866756042393
24966,0.32222357392311096,0.3807319849139187,9.926825,0.6808269800579285,0.6560805475330426
25489,0.3395466208457947,0.39623036641560627,11.414151,0.7147813349703654,0.6860713760616522
25996,0.4360307455062866,0.4956470790917038,18.017035,0.5957547868140545,0.6556952059347229
26556,0.45701462030410767,0.5195378824846172,19.846046,0.6193633436714792,0.6837138311744853
27083,0.417538046836853,0.4700999839399558,16.693445,0.7502246373276087,0.7061650821530798
27767,0.3063904047012329,0.3889595169465261,13.378387,0.7483804900665414,0.7129648100464835
28358,0.3234361708164215,0.39604182591728354,14.524265,0.718025264297866,0.6805671073546895
28861,0.47287583351135254,0.5372989125284306,21.230696,0.6501265356407916,0.7174493470625551
29489,0.532900869846344,0.5629202621022024,23.213865,0.6131027302553136,0.6855352911990277
30049,0.30237871408462524,0.3781442153807278,12.765749,0.6996301061901664,0.6662467697309893
30646,0.27126702666282654,0.35785487073498284,9.552258,0.6910803753234227,0.666765543426673
31150,0.4851178824901581,0.548349399895649,22.053392,0.6299244615609402,0.7007002842255323
31687,0.32278966903686523,0.38642150025126665,12.677087,0.7791887897699558,0.7473888673626736
32209,0.25096845626831055,0.33963035975831457,9.409106,0.7239259106447036,0.7000951119979302
32828,0.27870309352874756,0.3663659231148849,11.590584,0.7187900003200025,0.688701947115577
